id,feedback
1,"The classroom is very dirty and needs better cleaning."
2,"Teachers are very supportive and the syllabus is well structured."
3,"Hostel food is really bad and needs improvement."
4,"The administration process for scholarships is very slow."
5,"The library should have more updated books."
6,"Wi-Fi connectivity in the hostel is very poor."
7,"The professors are not punctual and classes start late."
8,"The playground needs better maintenance and new sports equipment."
9,"Lab equipment is outdated and needs replacement."
10,"The cafeteria menu lacks healthy food options."
11,"The fees payment system is too complicated."
12,"The study materials provided are very helpful."
13,"There are not enough parking spaces for students."
14,"The course curriculum needs more practical projects."
15,"Cleaning staff are not regular, creating hygiene issues."
16,"Exam schedules are not announced on time."
17,"There is a lack of proper security in the hostels."
18,"Seminars and workshops should be organized more frequently."
19,"There is a shortage of drinking water points in the campus."
20,"The administration office staff are often rude and unresponsive."
21,"The seating in classrooms is uncomfortable."
22,"The canteen is overcrowded during lunch hours."
23,"The teaching methods are very interactive and engaging."
24,"Library timings should be extended till late evening."
25,"Scholarship application process is very confusing."
26,"There are no proper signboards inside the campus."
27,"Students don't get enough opportunities for industrial visits."
28,"The computer labs are well equipped and maintained."
29,"The hostel rooms are too small for two students."
30,"Mess food menu needs more variety."
31,"The website often crashes during online fee payment."
32,"The sports facilities need to be modernized."
33,"More guest lectures from industry experts should be arranged."
34,"College transport buses are always late."
35,"Medical facilities on campus are inadequate."
36,"The placement cell staff are very supportive and helpful."
37,"Practical classes should be conducted more regularly."
38,"The auditorium sound system needs upgrading."
39,"The Wi-Fi network in classrooms is unreliable."
40,"There are not enough dustbins around the campus."
41,"Course contents are very theoretical and less industry-focused."
42,"There should be more focus on soft skills training."
43,"Faculty members should provide more career guidance."
44,"The lawns and gardens are not maintained properly."
45,"The administrative office takes too long to process documents."
